User_Need,REQ_ID,Requirement_Description,Design_Ref,TEST_ID,RISK_ID,Label_Ref,PMS_Ref,Verification_Status
UN-001,REQ-HD-001,Critical Anemia Detection (Sensitivity ≥90%),SDD-001 §3.4 Rules Engine | §3.5 HemoAI | §3.7 Alert Orchestrator,TEST-HD-011,RISK-HD-001 | RISK-HD-101,IFU-001 §Performance | §Warnings,PMS-001 §SLAs | §Real-world Sensitivity,PASS
UN-002,REQ-HD-002,CBC Data Ingestion and Validation (Unit conversion + LOINC mapping),SDD-001 §3.2 Ingestion Service | §3.3 Validation Service,TEST-HD-013,RISK-HD-101 | RISK-HD-402,IFU-001 §Data Entry,PMS-001 §Error Logs,PASS
UN-003,REQ-HD-003,Clinical Rationale Transparency (Display rules + evidence sources),SDD-001 §3.4 Rules Engine | §3.5 HemoAI | §3.8 UI Service,TEST-HD-017,RISK-HD-008 | RISK-HD-401,IFU-001 §Instructions | §Training,PMS-001 §Override Rates,PASS
UN-004,REQ-HD-004,Audit Trail and Logging (WORM logs + LGPD compliance),SDD-001 §3.9 Audit Service | §4.1 Data Model,TEST-HD-018,RISK-HD-103 | RISK-HD-404,IFU-001 §Privacy,PMS-001 §Audits,PASS
UN-005,REQ-HD-005,LIS/HIS Integration API (REST + OIDC/OAuth2 authentication),SDD-001 §3.1 API Gateway | §3.2 Ingestion Service,TEST-HD-019,RISK-HD-104 | RISK-HD-201,IFU-001 §Integration,PMS-001 §API Metrics,PASS
UN-002,NFR-001,Performance (P95 ≤ 2s latency | 1000 cases/hour throughput),SDD-001 §8 Performance Design | Kubernetes HPA,TEST-HD-015,RISK-HD-006 | RISK-HD-105,IFU-001 §Performance,PMS-001 §Ops KPIs,PASS
UN-004,NFR-002,Reliability (99.5% uptime | Automated regression testing),SDD-001 §8 Performance Design | §7.1 Fail-Safe Strategies,TEST-HD-014,RISK-HD-102 | RISK-HD-105 | RISK-HD-106,IFU-001 §Fallback,PMS-001 §SLAs,PASS
UN-005,NFR-003,Security & Cybersecurity (RBAC + MFA + TLS 1.3 + AES-256 + SBOM),SDD-001 §6 Security & Cybersecurity Design | SEC-001,TEST-HD-015 | TEST-HD-016,RISK-HD-201 | RISK-HD-202 | RISK-HD-203 | RISK-HD-205 | RISK-HD-206 | RISK-HD-301,IFU-001 §Cyber | §Security,PMS-001 §Vuln Mgmt | §Security Incidents,PASS
UN-003,NFR-004,Privacy (Data minimization + Pseudonymization + LGPD/GDPR compliance),SDD-001 §3.9 Audit Service | SEC-001 §DPIA,TEST-HD-017,RISK-HD-201 | RISK-HD-206,IFU-001 §Privacy,PMS-001 §Audits,PASS
UN-002,REQ-HD-012,Alert Prioritization and Throttling (Manage alert burden),SDD-001 §3.7 Alert Orchestrator,TEST-HD-012,RISK-HD-005 | RISK-HD-002,IFU-001 §Warnings | §Instructions,PMS-001 §Alert Metrics,PENDING
